ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
218,340,12,-7,0,240,10,80,20,800,400,20,12,30
218,340,12,-7,1,240,10,80,20,800,400,20,12,30
230,333,12,-7,0,260,10,80,20,800,400,20,12,30
230,333,12,-7,-1,260,10,80,20,800,400,20,12,30
242,326,12,-7,0,240,10,80,20,800,400,20,12,30
242,326,12,-7,1,240,10,80,20,800,400,20,12,30
254,319,12,-7,0,260,10,80,20,800,400,20,12,30
254,319,12,-7,-1,260,10,80,20,800,400,20,12,30
266,312,12,-7,0,240,10,80,20,800,400,20,12,30
266,312,12,-7,-1,240,10,80,20,800,400,20,12,30
278,305,12,-7,0,220,10,80,20,800,400,20,12,30
278,305,12,-7,1,220,10,80,20,800,400,20,12,30
290,298,12,-7,0,240,10,80,20,800,400,20,12,30
290,298,12,-7,1,240,10,80,20,800,400,20,12,30
302,291,12,-7,0,260,10,80,20,800,400,20,12,30
302,291,12,-7,1,260,10,80,20,800,400,20,12,30
314,284,12,-7,0,280,10,80,20,800,400,20,12,30
314,284,12,-7,1,280,10,80,20,800,400,20,12,30
326,277,12,-7,0,300,10,80,20,800,400,20,12,30
326,277,12,-7,-1,300,10,80,20,800,400,20,12,30
338,270,12,-7,0,280,10,80,20,800,400,20,12,30
338,270,12,-7,-1,280,10,80,20,800,400,20,12,30
350,263,12,-7,0,260,10,80,20,800,400,20,12,30
350,263,12,-7,-1,260,10,80,20,800,400,20,12,30
362,256,12,-7,0,240,10,80,20,800,400,20,12,30
362,256,12,-7,-1,240,10,80,20,800,400,20,12,30
374,249,12,-7,0,220,10,80,20,800,400,20,12,30
374,249,12,-7,-1,220,10,80,20,800,400,20,12,30
386,242,12,-7,0,200,10,80,20,800,400,20,12,30
386,242,12,-7,-1,200,10,80,20,800,400,20,12,30
398,235,12,-7,0,180,10,80,20,800,400,20,12,30
398,235,12,-7,-1,180,10,80,20,800,400,20,12,30
410,228,12,-7,0,160,10,80,20,800,400,20,12,30
410,228,12,-7,1,160,10,80,20,800,400,20,12,30
422,221,12,-7,0,180,10,80,20,800,400,20,12,30
422,221,12,-7,1,180,10,80,20,800,400,20,12,30
434,214,12,-7,0,200,10,80,20,800,400,20,12,30
434,214,12,-7,-1,200,10,80,20,800,400,20,12,30
446,207,12,-7,0,180,10,80,20,800,400,20,12,30
446,207,12,-7,1,180,10,80,20,800,400,20,12,30
458,200,12,-7,0,200,10,80,20,800,400,20,12,30
458,200,12,-7,1,200,10,80,20,800,400,20,12,30
470,193,12,-7,0,220,10,80,20,800,400,20,12,30
470,193,12,-7,1,220,10,80,20,800,400,20,12,30
482,186,12,-7,0,240,10,80,20,800,400,20,12,30
482,186,12,-7,1,240,10,80,20,800,400,20,12,30
494,179,12,-7,0,260,10,80,20,800,400,20,12,30
494,179,12,-7,-1,260,10,80,20,800,400,20,12,30
506,172,12,-7,0,240,10,80,20,800,400,20,12,30
506,172,12,-7,-1,240,10,80,20,800,400,20,12,30
518,165,12,-7,0,220,10,80,20,800,400,20,12,30
518,165,12,-7,-1,220,10,80,20,800,400,20,12,30
530,158,12,-7,0,200,10,80,20,800,400,20,12,30
530,158,12,-7,-1,200,10,80,20,800,400,20,12,30
542,151,12,-7,0,180,10,80,20,800,400,20,12,30
542,151,12,-7,-1,180,10,80,20,800,400,20,12,30
554,144,12,-7,0,160,10,80,20,800,400,20,12,30
554,144,12,-7,-1,160,10,80,20,800,400,20,12,30
566,137,12,-7,0,140,10,80,20,800,400,20,12,30
566,137,12,-7,-1,140,10,80,20,800,400,20,12,30
578,130,12,-7,0,120,10,80,20,800,400,20,12,30
578,130,12,-7,-1,120,10,80,20,800,400,20,12,30
590,123,12,-7,0,100,10,80,20,800,400,20,12,30
590,123,12,-7,1,100,10,80,20,800,400,20,12,30
602,116,12,-7,0,120,10,80,20,800,400,20,12,30
602,116,12,-7,1,120,10,80,20,800,400,20,12,30
614,109,12,-7,0,140,10,80,20,800,400,20,12,30
614,109,12,-7,-1,140,10,80,20,800,400,20,12,30
626,102,12,-7,0,120,10,80,20,800,400,20,12,30
626,102,12,-7,-1,120,10,80,20,800,400,20,12,30
638,95,12,-7,0,100,10,80,20,800,400,20,12,30
638,95,12,-7,-1,100,10,80,20,800,400,20,12,30
650,88,12,-7,0,80,10,80,20,800,400,20,12,30
650,88,12,-7,1,80,10,80,20,800,400,20,12,30
662,81,12,-7,0,100,10,80,20,800,400,20,12,30
662,81,12,-7,1,100,10,80,20,800,400,20,12,30
674,74,12,-7,0,120,10,80,20,800,400,20,12,30
674,74,12,-7,-1,120,10,80,20,800,400,20,12,30
686,67,12,-7,0,100,10,80,20,800,400,20,12,30
686,67,12,-7,1,100,10,80,20,800,400,20,12,30
698,60,12,-7,0,120,10,80,20,800,400,20,12,30
698,60,12,-7,-1,120,10,80,20,800,400,20,12,30
710,53,12,-7,0,100,10,80,20,800,400,20,12,30
710,53,12,-7,-1,100,10,80,20,800,400,20,12,30
722,46,12,-7,0,80,10,80,20,800,400,20,12,30
722,46,12,-7,-1,80,10,80,20,800,400,20,12,30
734,39,12,-7,0,60,10,80,20,800,400,20,12,30
734,39,12,-7,-1,60,10,80,20,800,400,20,12,30
746,32,12,-7,0,60,10,80,20,800,400,20,12,30
746,32,12,-7,-1,60,10,80,20,800,400,20,12,30
758,39,12,7,0,60,10,80,20,800,400,20,12,30
758,39,12,7,-1,60,10,80,20,800,400,20,12,30
770,46,12,7,0,60,10,80,20,800,400,20,12,30
770,46,12,7,-1,60,10,80,20,800,400,20,12,30
758,53,-12,7,0,60,10,80,20,800,400,20,12,30
758,53,-12,7,-1,60,10,80,20,800,400,20,12,30
746,60,-12,7,0,60,10,80,20,800,400,20,12,30
746,60,-12,7,-1,60,10,80,20,800,400,20,12,30
734,67,-12,7,0,60,10,80,20,800,400,20,12,30
734,67,-12,7,-1,60,10,80,20,800,400,20,12,30
722,74,-12,7,0,60,10,80,20,800,400,20,12,30
722,74,-12,7,1,60,10,80,20,800,400,20,12,30
710,81,-12,7,0,80,10,80,20,800,400,20,12,30
710,81,-12,7,-1,80,10,80,20,800,400,20,12,30
698,88,-12,7,0,60,10,80,20,800,400,20,12,30
698,88,-12,7,1,60,10,80,20,800,400,20,12,30
686,95,-12,7,0,80,10,80,20,800,400,20,12,30
686,95,-12,7,1,80,10,80,20,800,400,20,12,30
674,102,-12,7,0,100,10,80,20,800,400,20,12,30
674,102,-12,7,1,100,10,80,20,800,400,20,12,30
662,109,-12,7,0,120,10,80,20,800,400,20,12,30
662,109,-12,7,1,120,10,80,20,800,400,20,12,30
650,116,-12,7,0,140,10,80,20,800,400,20,12,30
650,116,-12,7,-1,140,10,80,20,800,400,20,12,30
638,123,-12,7,0,120,10,80,20,800,400,20,12,30
638,123,-12,7,1,120,10,80,20,800,400,20,12,30
626,130,-12,7,0,140,10,80,20,800,400,20,12,30
626,130,-12,7,1,140,10,80,20,800,400,20,12,30
614,137,-12,7,0,160,10,80,20,800,400,20,12,30
614,137,-12,7,-1,160,10,80,20,800,400,20,12,30
602,144,-12,7,0,140,10,80,20,800,400,20,12,30
602,144,-12,7,1,140,10,80,20,800,400,20,12,30
590,151,-12,7,0,160,10,80,20,800,400,20,12,30
590,151,-12,7,-1,160,10,80,20,800,400,20,12,30
578,158,-12,7,0,140,10,80,20,800,400,20,12,30
578,158,-12,7,1,140,10,80,20,800,400,20,12,30
566,165,-12,7,0,160,10,80,20,800,400,20,12,30
566,165,-12,7,1,160,10,80,20,800,400,20,12,30
554,172,-12,7,0,180,10,80,20,800,400,20,12,30
554,172,-12,7,-1,180,10,80,20,800,400,20,12,30
542,179,-12,7,0,160,10,80,20,800,400,20,12,30
542,179,-12,7,1,160,10,80,20,800,400,20,12,30
530,186,-12,7,0,180,10,80,20,800,400,20,12,30
530,186,-12,7,1,180,10,80,20,800,400,20,12,30
518,193,-12,7,0,200,10,80,20,800,400,20,12,30
518,193,-12,7,1,200,10,80,20,800,400,20,12,30
506,200,-12,7,0,220,10,80,20,800,400,20,12,30
506,200,-12,7,1,220,10,80,20,800,400,20,12,30
494,207,-12,7,0,240,10,80,20,800,400,20,12,30
494,207,-12,7,1,240,10,80,20,800,400,20,12,30
482,214,-12,7,0,260,10,80,20,800,400,20,12,30
482,214,-12,7,-1,260,10,80,20,800,400,20,12,30
470,221,-12,7,0,240,10,80,20,800,400,20,12,30
470,221,-12,7,-1,240,10,80,20,800,400,20,12,30
458,228,-12,7,0,220,10,80,20,800,400,20,12,30
458,228,-12,7,-1,220,10,80,20,800,400,20,12,30
446,235,-12,7,0,200,10,80,20,800,400,20,12,30
446,235,-12,7,1,200,10,80,20,800,400,20,12,30
434,242,-12,7,0,220,10,80,20,800,400,20,12,30
434,242,-12,7,1,220,10,80,20,800,400,20,12,30
422,249,-12,7,0,240,10,80,20,800,400,20,12,30
422,249,-12,7,-1,240,10,80,20,800,400,20,12,30
410,256,-12,7,0,220,10,80,20,800,400,20,12,30
410,256,-12,7,1,220,10,80,20,800,400,20,12,30
398,263,-12,7,0,240,10,80,20,800,400,20,12,30
398,263,-12,7,-1,240,10,80,20,800,400,20,12,30
386,270,-12,7,0,220,10,80,20,800,400,20,12,30
386,270,-12,7,1,220,10,80,20,800,400,20,12,30
374,277,-12,7,0,240,10,80,20,800,400,20,12,30
374,277,-12,7,-1,240,10,80,20,800,400,20,12,30
362,284,-12,7,0,220,10,80,20,800,400,20,12,30
362,284,-12,7,1,220,10,80,20,800,400,20,12,30
350,291,-12,7,0,240,10,80,20,800,400,20,12,30
350,291,-12,7,-1,240,10,80,20,800,400,20,12,30
338,298,-12,7,0,220,10,80,20,800,400,20,12,30
338,298,-12,7,-1,220,10,80,20,800,400,20,12,30
326,305,-12,7,0,200,10,80,20,800,400,20,12,30
326,305,-12,7,-1,200,10,80,20,800,400,20,12,30
314,312,-12,7,0,180,10,80,20,800,400,20,12,30
314,312,-12,7,1,180,10,80,20,800,400,20,12,30
302,319,-12,7,0,200,10,80,20,800,400,20,12,30
302,319,-12,7,-1,200,10,80,20,800,400,20,12,30
290,326,-12,7,0,180,10,80,20,800,400,20,12,30
290,326,-12,7,1,180,10,80,20,800,400,20,12,30
278,333,-12,7,0,200,10,80,20,800,400,20,12,30
278,333,-12,7,1,200,10,80,20,800,400,20,12,30
266,340,-12,7,0,220,10,80,20,800,400,20,12,30
266,340,-12,7,1,220,10,80,20,800,400,20,12,30
254,347,-12,7,0,240,10,80,20,800,400,20,12,30
254,347,-12,7,-1,240,10,80,20,800,400,20,12,30
242,354,-12,7,0,220,10,80,20,800,400,20,12,30
242,354,-12,7,1,220,10,80,20,800,400,20,12,30
230,361,-12,7,0,240,10,80,20,800,400,20,12,30
230,361,-12,7,-1,240,10,80,20,800,400,20,12,30
218,368,-12,7,0,220,10,80,20,800,400,20,12,30
218,368,-12,7,1,220,10,80,20,800,400,20,12,30
206,361,-12,-7,0,240,10,80,20,800,400,20,12,30
206,361,-12,-7,1,240,10,80,20,800,400,20,12,30
194,354,-12,-7,0,260,10,80,20,800,400,20,12,30
194,354,-12,-7,1,260,10,80,20,800,400,20,12,30
182,347,-12,-7,0,280,10,80,20,800,400,20,12,30
182,347,-12,-7,1,280,10,80,20,800,400,20,12,30
170,340,-12,-7,0,300,10,80,20,800,400,20,12,30
170,340,-12,-7,-1,300,10,80,20,800,400,20,12,30
158,333,-12,-7,0,280,10,80,20,800,400,20,12,30
158,333,-12,-7,-1,280,10,80,20,800,400,20,12,30
146,326,-12,-7,0,260,10,80,20,800,400,20,12,30
146,326,-12,-7,-1,260,10,80,20,800,400,20,12,30
134,319,-12,-7,0,240,10,80,20,800,400,20,12,30
134,319,-12,-7,1,240,10,80,20,800,400,20,12,30
122,312,-12,-7,0,260,10,80,20,800,400,20,12,30
122,312,-12,-7,-1,260,10,80,20,800,400,20,12,30
110,305,-12,-7,0,240,10,80,20,800,400,20,12,30
110,305,-12,-7,1,240,10,80,20,800,400,20,12,30
98,298,-12,-7,0,260,10,80,20,800,400,20,12,30
98,298,-12,-7,-1,260,10,80,20,800,400,20,12,30
86,291,-12,-7,0,240,10,80,20,800,400,20,12,30
86,291,-12,-7,1,240,10,80,20,800,400,20,12,30
74,284,-12,-7,0,260,10,80,20,800,400,20,12,30
74,284,-12,-7,-1,260,10,80,20,800,400,20,12,30
62,277,-12,-7,0,240,10,80,20,800,400,20,12,30
62,277,-12,-7,1,240,10,80,20,800,400,20,12,30
50,270,-12,-7,0,260,10,80,20,800,400,20,12,30
50,270,-12,-7,-1,260,10,80,20,800,400,20,12,30
38,263,-12,-7,0,240,10,80,20,800,400,20,12,30
38,263,-12,-7,1,240,10,80,20,800,400,20,12,30
50,256,12,-7,0,260,10,80,20,800,400,20,12,30
50,256,12,-7,-1,260,10,80,20,800,400,20,12,30
62,249,12,-7,0,240,10,80,20,800,400,20,12,30
62,249,12,-7,1,240,10,80,20,800,400,20,12,30
74,242,12,-7,0,260,10,80,20,800,400,20,12,30
74,242,12,-7,-1,260,10,80,20,800,400,20,12,30
86,235,12,-7,0,240,10,80,20,800,400,20,12,30
86,235,12,-7,-1,240,10,80,20,800,400,20,12,30
98,228,12,-7,0,220,10,80,20,800,400,20,12,30
98,228,12,-7,1,220,10,80,20,800,400,20,12,30
110,221,12,-7,0,240,10,80,20,800,400,20,12,30
110,221,12,-7,1,240,10,80,20,800,400,20,12,30
122,214,12,-7,0,260,10,80,20,800,400,20,12,30
122,214,12,-7,-1,260,10,80,20,800,400,20,12,30
134,207,12,-7,0,240,10,80,20,800,400,20,12,30
134,207,12,-7,-1,240,10,80,20,800,400,20,12,30
146,200,12,-7,0,220,10,80,20,800,400,20,12,30
146,200,12,-7,-1,220,10,80,20,800,400,20,12,30
158,193,12,-7,0,200,10,80,20,800,400,20,12,30
158,193,12,-7,-1,200,10,80,20,800,400,20,12,30
170,186,12,-7,0,180,10,80,20,800,400,20,12,30
170,186,12,-7,-1,180,10,80,20,800,400,20,12,30
182,179,12,-7,0,160,10,80,20,800,400,20,12,30
182,179,12,-7,1,160,10,80,20,800,400,20,12,30
194,172,12,-7,0,180,10,80,20,800,400,20,12,30
194,172,12,-7,-1,180,10,80,20,800,400,20,12,30
206,165,12,-7,0,160,10,80,20,800,400,20,12,30
206,165,12,-7,1,160,10,80,20,800,400,20,12,30
218,158,12,-7,0,180,10,80,20,800,400,20,12,30
218,158,12,-7,-1,180,10,80,20,800,400,20,12,30
230,151,12,-7,0,160,10,80,20,800,400,20,12,30
230,151,12,-7,-1,160,10,80,20,800,400,20,12,30
242,144,12,-7,0,140,10,80,20,800,400,20,12,30
242,144,12,-7,1,140,10,80,20,800,400,20,12,30
254,137,12,-7,0,160,10,80,20,800,400,20,12,30
254,137,12,-7,-1,160,10,80,20,800,400,20,12,30
266,130,12,-7,0,140,10,80,20,800,400,20,12,30
266,130,12,-7,1,140,10,80,20,800,400,20,12,30
278,123,12,-7,0,160,10,80,20,800,400,20,12,30
278,123,12,-7,1,160,10,80,20,800,400,20,12,30
290,116,12,-7,0,180,10,80,20,800,400,20,12,30
290,116,12,-7,-1,180,10,80,20,800,400,20,12,30
302,109,12,-7,0,160,10,80,20,800,400,20,12,30
302,109,12,-7,1,160,10,80,20,800,400,20,12,30
314,102,12,-7,0,180,10,80,20,800,400,20,12,30
314,102,12,-7,-1,180,10,80,20,800,400,20,12,30
326,95,12,-7,0,160,10,80,20,800,400,20,12,30
326,95,12,-7,1,160,10,80,20,800,400,20,12,30
338,88,12,-7,0,180,10,80,20,800,400,20,12,30
338,88,12,-7,-1,180,10,80,20,800,400,20,12,30
350,81,12,-7,0,160,10,80,20,800,400,20,12,30
350,81,12,-7,-1,160,10,80,20,800,400,20,12,30
362,74,12,-7,0,140,10,80,20,800,400,20,12,30
362,74,12,-7,-1,140,10,80,20,800,400,20,12,30
374,67,12,-7,0,120,10,80,20,800,400,20,12,30
374,67,12,-7,1,120,10,80,20,800,400,20,12,30
386,60,12,-7,0,140,10,80,20,800,400,20,12,30
386,60,12,-7,-1,140,10,80,20,800,400,20,12,30
398,53,12,-7,0,120,10,80,20,800,400,20,12,30
398,53,12,-7,-1,120,10,80,20,800,400,20,12,30
410,46,12,-7,0,100,10,80,20,800,400,20,12,30
410,46,12,-7,1,100,10,80,20,800,400,20,12,30
422,39,12,-7,0,120,10,80,20,800,400,20,12,30
422,39,12,-7,-1,120,10,80,20,800,400,20,12,30
434,32,12,-7,0,100,10,80,20,800,400,20,12,30
434,32,12,-7,1,100,10,80,20,800,400,20,12,30
446,39,12,7,0,120,10,80,20,800,400,20,12,30
446,39,12,7,-1,120,10,80,20,800,400,20,12,30
458,46,12,7,0,100,10,80,20,800,400,20,12,30
458,46,12,7,1,100,10,80,20,800,400,20,12,30
470,53,12,7,0,120,10,80,20,800,400,20,12,30
470,53,12,7,-1,120,10,80,20,800,400,20,12,30
482,60,12,7,0,100,10,80,20,800,400,20,12,30
482,60,12,7,-1,100,10,80,20,800,400,20,12,30
494,67,12,7,0,80,10,80,20,800,400,20,12,30
494,67,12,7,1,80,10,80,20,800,400,20,12,30
506,74,12,7,0,100,10,80,20,800,400,20,12,30
506,74,12,7,-1,100,10,80,20,800,400,20,12,30
518,81,12,7,0,80,10,80,20,800,400,20,12,30
518,81,12,7,-1,80,10,80,20,800,400,20,12,30
530,88,12,7,0,60,10,80,20,800,400,20,12,30
530,88,12,7,1,60,10,80,20,800,400,20,12,30
542,95,12,7,0,80,10,80,20,800,400,20,12,30
542,95,12,7,1,80,10,80,20,800,400,20,12,30
554,102,12,7,0,100,10,80,20,800,400,20,12,30
554,102,12,7,1,100,10,80,20,800,400,20,12,30
566,109,12,7,0,120,10,80,20,800,400,20,12,30
566,109,12,7,1,120,10,80,20,800,400,20,12,30
578,116,12,7,0,140,10,80,20,800,400,20,12,30
578,116,12,7,1,140,10,80,20,800,400,20,12,30
590,123,12,7,0,160,10,80,20,800,400,20,12,30
590,123,12,7,-1,160,10,80,20,800,400,20,12,30
602,130,12,7,0,140,10,80,20,800,400,20,12,30
602,130,12,7,1,140,10,80,20,800,400,20,12,30
614,137,12,7,0,160,10,80,20,800,400,20,12,30
614,137,12,7,-1,160,10,80,20,800,400,20,12,30
626,144,12,7,0,140,10,80,20,800,400,20,12,30
626,144,12,7,1,140,10,80,20,800,400,20,12,30
638,151,12,7,0,160,10,80,20,800,400,20,12,30
638,151,12,7,-1,160,10,80,20,800,400,20,12,30
650,158,12,7,0,140,10,80,20,800,400,20,12,30
650,158,12,7,1,140,10,80,20,800,400,20,12,30
